Book,Line,Token,Lemma,POS,Morph,FilterReason
10,48,τοσσάδε,τοσόσδε,PRON,"{'pos': 'PRON', 'number': 'Plur', 'gender': 'Neut', 'case': 'Acc'}",POS_not_ADJ_or_Part
10,48,μέρμεῤ,μέρμερος,ADJ,"{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Neut', 'case': 'Acc'}","Agreement_fail (Hektor:{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Masc', 'case': 'Nom'} vs Epithet:{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Neut', 'case': 'Acc'})"
10,48,ἤματι,ἦμαρ,NOUN,"{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Neut', 'case': 'Dat'}",POS_not_ADJ_or_Part
10,48,μητίσασθαι,μητίομαι,VERB,"{'pos': 'VERB', 'tense': 'Aor', 'mood': 'Inf', 'voice': 'Mid'}",POS_not_ADJ_or_Part
10,49,ὅσσ̓,ὅσος,ADJ,"{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Neut', 'case': 'Acc'}","Agreement_fail (Hektor:{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Masc', 'case': 'Nom'} vs Epithet:{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Neut', 'case': 'Acc'})"
10,49,ἔρρεξε,ῥέζω,VERB,"{'pos': 'VERB', 'person': '3', 'number': 'Sing', 'tense': 'Aor', 'mood': 'Ind', 'voice': 'Act'}",POS_not_ADJ_or_Part
10,49,Διῒ,Ζεύς,NOUN,"{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Masc', 'case': 'Dat'}",POS_not_ADJ_or_Part
10,49,υἷας,υἱός,NOUN,"{'pos': 'NOUN', 'number': 'Plur', 'gender': 'Masc', 'case': 'Acc'}",POS_not_ADJ_or_Part
10,49,Ἀχαιῶν,ἀχαιός,NOUN,"{'pos': 'NOUN', 'number': 'Plur', 'gender': 'Masc', 'case': 'Gen'}",POS_not_ADJ_or_Part
10,50,αὔτως,αὔτως,ADV,{'pos': 'ADV'},POS_not_ADJ_or_Part
10,200,ὅθεν,ὅθεν,ADV,{'pos': 'ADV'},POS_not_ADJ_or_Part
10,200,αὖτις,αὖθις,ADV,{'pos': 'ADV'},POS_not_ADJ_or_Part
