Book,Line,Hero,Epithet,Lemma,Samforekomst,Enjambement,Speaker,Addressee,Case,Number,Gender,Tense,Voice,Mood,POS,Source,Confidence,Greek
1,242,HEKTOR,ἀνδροφόνοιο,ἀνδροφόνος,,,Achilles,Agamemnon,Gen,Sing,Masc,,,,ADJ,whitelist,high,"τότε δ̓ οὔ τι δυνήσεαι ἀχνύμενός περ χραισμεῖν , εὖτ̓ ἂν πολλοὶ ὑφ̓ Ἕκτορος ἀνδροφόνοιο θνήσκοντες πίπτωσι ·"
2,816,HEKTOR,μέγας κορυθαίολος,μέγας κορυθαίολος,2.817_C5,,,,Nom,Sing,Masc,,,,ADJ+ADJ,whitelist,high,Τρωσὶ μὲν ἡγεμόνευε μέγας κορυθαίολος Ἕκτωρ Πριαμίδης ·
2,817,HEKTOR,Πριαμίδης,Πριαμίδης,2.817_C5,,,,Nom,Sing,Masc,,,,NOUN,whitelist,high,Τρωσὶ μὲν ἡγεμόνευε μέγας κορυθαίολος Ἕκτωρ Πριαμίδης ·
3,83,HEKTOR,κορυθαίολος,κορυθαίολος,,,Agamemnon,Greeks,Nom,Sing,Masc,,,,ADJ,whitelist,high,στεῦται γάρ τι ἔπος ἐρέειν κορυθαίολος Ἕκτωρ .
3,314,HEKTOR,Πριάμοιο πάϊς,παῖς Πριάμοιο,,,,,Nom,Sing,Masc,,,,NOUN+NOUN,whitelist,high,"Ἕκτωρ δὲ Πριάμοιο πάϊς καὶ δῖος Ὀδυσσεὺς χῶρον μὲν πρῶτον διεμέτρεον , αὐτὰρ ἔπειτα κλήρους ἐν κυνέῃ χαλκήρεϊ πάλλον ἑλόντες , ὁππότερος δὴ πρόσθεν ἀφείη χάλκεον ἔγχος . [0] [1]"
3,324,HEKTOR,μέγας κορυθαίολος,μέγας κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ+ADJ,whitelist,high,"ὣς ἄῤ ἔφαν , πάλλεν δὲ μέγας κορυθαίολος Ἕκτωρ ἂψ ὁρόων ·"
4,505,HEKTOR,φαίδιμος,φαίδιμος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,χώρησαν δ̓ ὑπό τε πρόμαχοι καὶ φαίδιμος Ἕκτωρ ·
5,211,HEKTOR,δίῳ,δῖος,,,Pandarus,Aeneas,Dat,Sing,Masc,,,,ADJ,whitelist,high,τώ ῥα κακῇ αἴσῃ ἀπὸ πασσάλου ἀγκύλα τόξα ἤματι τῷ ἑλόμην ὅτε Ἴλιον εἰς ἐρατεινὴν ἡγεόμην Τρώεσσι φέρων χάριν Ἕκτορι δίῳ .
5,467,HEKTOR,δίῳ,δῖος,,,Ares-Acamas,Trojans,Dat,Sing,Masc,,,,ADJ,whitelist,high,κεῖται ἀνὴρ ὃν ἶσον ἐτίομεν Ἕκτορι δίῳ Αἰνείας υἱὸς μεγαλήτορος Ἀγχίσαο · [0]
5,471,HEKTOR,δῖον,δῖος,,,,,Acc,Sing,Masc,,,,ADJ,whitelist,high,ἔνθ̓ αὖ Σαρπηδὼν μάλα νείκεσεν Ἕκτορα δῖον ·
5,601,HEKTOR,δῖον,δῖος,,,Diomedes,Greeks,Acc,Sing,Masc,,,,ADJ,whitelist,high,ὦ φίλοι οἷον δὴ θαυμάζομεν Ἕκτορα δῖον αἰχμητήν τ̓ ἔμεναι καὶ θαρσαλέον πολεμιστήν ·
5,680,HEKTOR,μέγας κορυθαίολος,μέγας κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ+ADJ,whitelist,high,καί νύ κ̓ ἔτι πλέονας Λυκίων κτάνε δῖος Ὀδυσσεὺς εἰ μὴ ἄῤ ὀξὺ νόησε μέγας κορυθαίολος Ἕκτωρ ·
5,684,HEKTOR,Πριαμίδη,Πριαμίδης,,,Sarpedon,Hector,Voc,Sing,Masc,,,,NOUN,whitelist,review,"Πριαμίδη , μὴ δή με ἕλωρ Δαναοῖσιν ἐάσῃς κεῖσθαι , ἀλλ̓ ἐπάμυνον ·"
5,689,HEKTOR,κορυθαίολος,κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,"ὣς φάτο , τὸν δ̓ οὔ τι προσέφη κορυθαίολος Ἕκτωρ , ἀλλὰ παρήϊξεν λελιημένος ὄφρα τάχιστα ὤσαιτ̓ Ἀργείους , πολέων δ̓ ἀπὸ θυμὸν ἕλοιτο ."
