Book,Line,Hero,Epithet,Lemma,POS,WordCount,Case,Number,Gender,Tense,Voice,Mood,Greek
10,49,HEKTOR,φίλος,φίλος,ADJ,1,Nom,Sing,Masc,,,,ὅσσ̓ Ἕκτωρ ἔρρεξε Διῒ φίλος υἷας Ἀχαιῶν
10,200,HEKTOR,ὄβριμος,ὄβριμος,ADJ,1,Nom,Sing,Masc,,,,"ὅθεν αὖτις ἀπετράπετ̓ ὄβριμος Ἕκτωρ , . [0]"
10,201,HEKTOR,ὀλλὺς,ὄλλυμι,VERB,1,Nom,Sing,Masc,Pres,Act,Part,ὀλλὺς Ἀργείους ὅτε δὴ περὶ νὺξ ἐκάλυψεν
11,295,HEKTOR,ἶσος,ἴσος,ADJ,1,Nom,Sing,Masc,,,,Ἕκτωρ Πριαμίδης βροτολοιγῷ ἶσος Ἄρηϊ
11,315,HEKTOR,κορυθαίολος,κορυθαίολος,ADJ,1,Nom,Sing,Masc,,,,ἔσσεται εἴ κεν νῆας ἕλῃ κορυθαίολος Ἕκτωρ
11,347,HEKTOR,ὄβριμος,ὄβριμος,ADJ,1,Nom,Sing,Masc,,,,νῶϊν δὴ τόδε πῆμα κυλίνδεται ὄβριμος Ἕκτωρ · [0]
11,359,HEKTOR,ὀρούσας,ὀρούω,VERB,1,Nom,Sing,Masc,Aor,Act,Part,τόφῤ Ἕκτωρ ἔμπνυτο καὶ ἂψ ἐς δίφρον ὀρούσας
11,502,HEKTOR,ῥέζων,ῥέζω,VERB,1,Nom,Sing,Masc,Pres,Act,Part,"Ἕκτωρ μὲν μετὰ τοῖσιν ὁμίλει μέρμερα ῥέζων , ·"
12,10,HEKTOR,ζωὸς,ζωός,ADJ,1,Nom,Sing,Masc,,,,"ὄφρα μὲν Ἕκτωρ ζωὸς ἔην καὶ μήνἰ Ἀχιλλεὺς , ."
12,49,HEKTOR,ἰὼν,εἶμι,VERB,1,Nom,Sing,Masc,Pres,Act,Part,ὣς Ἕκτωρ ἀν̓ ὅμιλον ἰὼν ἐλλίσσεθ̓ ἑταίρους · [0]
12,50,HEKTOR,ἐποτρύνων,ἐποτρύνω,VERB,1,Nom,Sing,Masc,Pres,Act,Part,τάφρον ἐποτρύνων διαβαινέμεν
12,230,HEKTOR,ἰδὼν,εἶδον,VERB,1,Nom,Sing,Masc,Aor,Act,Part,τὸν δ̓ ἄῤ ὑπόδρα ἰδὼν προσέφη κορυθαίολος Ἕκτωρ ·
12,230,HEKTOR,κορυθαίολος,κορυθαίολος,ADJ,1,Nom,Sing,Masc,,,,τὸν δ̓ ἄῤ ὑπόδρα ἰδὼν προσέφη κορυθαίολος Ἕκτωρ ·
12,290,HEKTOR,φαίδιμος,φαίδιμος,ADJ,1,Nom,Sing,Masc,,,,"οὐ δ̓ ἄν πω τότε γε Τρῶες καὶ φαίδιμος Ἕκτωρ , . [0] [1]"
12,445,HEKTOR,ἁρπάξας,ἁρπάζω,VERB,1,Nom,Sing,Masc,Aor,Act,Part,Ἕκτωρ δ̓ ἁρπάξας λᾶαν φέρεν ὅς ῥα πυλάων
12,453,HEKTOR,ἀείρας,ἀείρω,VERB,1,Nom,Sing,Masc,Aor,Act,Part,ὣς Ἕκτωρ ἰθὺς σανίδων φέρε λᾶαν ἀείρας
12,462,HEKTOR,φαίδιμος,φαίδιμος,ADJ,1,Nom,Sing,Masc,,,,ὃ δ̓ ἄῤ ἔσθορε φαίδιμος Ἕκτωρ · [0]
12,463,HEKTOR,ἀτάλαντος,ἀτάλαντος,ADJ,1,Nom,Sing,Masc,,,,νυκτὶ θοῇ ἀτάλαντος ὑπώπια
13,53,HEKTOR,εἴκελος,εἴκελος,ADJ,1,Nom,Sing,Masc,,,,ᾗ ῥ̓ ὅ γ̓ ὁ λυσσώδης φλογὶ εἴκελος ἡγεμονεύει
13,123,HEKTOR,ἀγαθὸς,ἀγαθός,ADJ,1,Nom,Sing,Masc,,,,"Ἕκτωρ δὴ παρὰ νηυσὶ βοὴν ἀγαθὸς πολεμίζει , ."
13,124,HEKTOR,καρτερός,καρτερός,ADJ,1,Nom,Sing,Masc,,,,καρτερός ἔρρηξεν δὲ πύλας καὶ μακρὸν ὀχῆα
13,137,HEKTOR,μεμαώς,μέμαα,VERB,1,Nom,Sing,Masc,Perf,Act,Part,ἀντικρὺ μεμαώς ὀλοοίτροχος ὣς ἀπὸ πέτρης
13,674,HEKTOR,φίλος,φίλος,ADJ,1,Nom,Sing,Masc,,,,"Ἕκτωρ δ̓ οὐκ ἐπέπυστο Διῒ φίλος , οὐ δέ τι ᾔδη ."
13,802,HEKTOR,ἶσος,ἴσος,ADJ,1,Nom,Sing,Masc,,,,Ἕκτωρ δ̓ ἡγεῖτο βροτολοιγῷ ἶσος Ἄρηϊ ·
13,823,HEKTOR,φαίδιμος,φαίδιμος,ADJ,1,Nom,Sing,Masc,,,,ὃ δ̓ ἀμείβετο φαίδιμος Ἕκτωρ ·
14,44,HEKTOR,ὄβριμος,ὄβριμος,ADJ,1,Nom,Sing,Masc,,,,"δείδω μὴ δή μοι τελέσῃ ἔπος ὄβριμος Ἕκτωρ , , ."
14,45,HEKTOR,ἀγορεύων,ἀγορεύω,VERB,1,Nom,Sing,Masc,Pres,Act,Part,ὥς ποτ̓ ἐπηπείλησεν ἐνὶ Τρώεσσ̓ ἀγορεύων
14,388,HEKTOR,φαίδιμος,φαίδιμος,ADJ,1,Nom,Sing,Masc,,,,Τρῶας δ̓ αὖθ̓ ἑτέρωθεν ἐκόσμει φαίδιμος Ἕκτωρ .
14,390,HEKTOR,κυανοχαῖτα,κυανοχαίτης,ADJ,1,Nom,Sing,Masc,,,,κυανοχαῖτα Ποσειδάων καὶ φαίδιμος Ἕκτωρ
14,390,HEKTOR,φαίδιμος,φαίδιμος,ADJ,1,Nom,Sing,Masc,,,,κυανοχαῖτα Ποσειδάων καὶ φαίδιμος Ἕκτωρ
14,402,HEKTOR,πρῶτος,πρότερος,ADJ,1,Nom,Sing,Masc,,,,"Αἴαντος δὲ πρῶτος ἀκόντισε φαίδιμος Ἕκτωρ , , , , , ·"
14,402,HEKTOR,φαίδιμος,φαίδιμος,ADJ,1,Nom,Sing,Masc,,,,"Αἴαντος δὲ πρῶτος ἀκόντισε φαίδιμος Ἕκτωρ , , , , , ·"
15,65,HEKTOR,φαίδιμος,φαίδιμος,ADJ,1,Nom,Sing,Masc,,,,"τὸν δὲ κτενεῖ ἔγχεϊ φαίδιμος Ἕκτωρ , . [0]"
15,231,HEKTOR,φαίδιμος,φαίδιμος,ADJ,1,Nom,Sing,Masc,,,,σοὶ δ̓ αὐτῷ μελέτω ἑκατηβόλε φαίδιμος Ἕκτωρ ·
15,246,HEKTOR,ὀλιγοδρανέων,ὀλιγοδρανέων,VERB,1,Nom,Sing,Masc,Pres,Act,Part,τὸν δ̓ ὀλιγοδρανέων προσέφη κορυθαίολος Ἕκτωρ ·
15,246,HEKTOR,κορυθαίολος,κορυθαίολος,ADJ,1,Nom,Sing,Masc,,,,τὸν δ̓ ὀλιγοδρανέων προσέφη κορυθαίολος Ἕκτωρ ·
15,270,HEKTOR,ὀτρύνων,ὀτρύνω,VERB,1,Nom,Sing,Masc,Pres,Act,Part,ὀτρύνων ἱππῆας ἐπεὶ θεοῦ ἔκλυεν αὐδήν
15,287,HEKTOR,ἀλύξας,ἀλύσκω,VERB,1,Nom,Sing,Masc,Aor,Act,Part,οἷον δ̓ αὖτ̓ ἐξαῦτις ἀνέστη κῆρας ἀλύξας
15,307,HEKTOR,βιβάς,βίβημι,VERB,1,Nom,Sing,Masc,Pres,Act,Part,μακρὰ βιβάς
15,346,HEKTOR,ἀΰσας,αὔω,VERB,1,Nom,Sing,Masc,Aor,Act,Part,"Ἕκτωρ δὲ Τρώεσσιν ἐκέκλετο μακρὸν ἀΰσας , ·"
