Book,Line,Locus,Hero,Epithet,Speaker,Addressee,Greek
1,7,1.7,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδης,,,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
1,7,1.7,ΑΓΑΜΕΜΝΩΝ,ἄναξ ἀνδρῶν,,,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
1,7,1.7,ΑΧΙΛΛΕΥΣ,δῖος,,,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
1,12,1.12,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδης,,,Ἀτρεΐδης· ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν
1,17,1.17,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδαι,Chryses,Agamemnon; Greeks,"Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,"
1,17,1.17,ΑΓΑΜΕΜΝΩΝ,ἄλλοι,Chryses,Agamemnon; Greeks,"Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,"
1,17,1.17,ΑΓΑΜΕΜΝΩΝ,ἐϋκνήμιδες,Chryses,Agamemnon; Greeks,"Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,"
1,24,1.24,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδῃ,,,"ἀλλ’ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,"
1,58,1.58,ΑΧΙΛΛΕΥΣ,ὠκὺς,,,τοῖσι δ’ ἀνιστάμενος μετέφη πόδας ὠκὺς Ἀχιλλεύς·
1,58,1.58,ΑΧΙΛΛΕΥΣ,πόδας ὠκὺς,,,τοῖσι δ’ ἀνιστάμενος μετέφη πόδας ὠκὺς Ἀχιλλεύς·
1,84,1.84,ΑΧΙΛΛΕΥΣ,ὠκὺς,,,τὸν δ’ ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς·
1,84,1.84,ΑΧΙΛΛΕΥΣ,πόδας ὠκὺς,,,τὸν δ’ ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς·
1,102,1.102,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδης,,,ἥρως Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων
1,102,1.102,ΑΓΑΜΕΜΝΩΝ,κρείων,,,ἥρως Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων
1,121,1.121,ΑΧΙΛΛΕΥΣ,ποδάρκης,,,τὸν δ’ ἠμείβετ’ ἔπειτα ποδάρκης δῖος Ἀχιλλεύς·
1,121,1.121,ΑΧΙΛΛΕΥΣ,δῖος,,,τὸν δ’ ἠμείβετ’ ἔπειτα ποδάρκης δῖος Ἀχιλλεύς·
1,122,1.122,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδη,Achilles,Agamemnon,"Ἀτρεΐδη κύδιστε φιλοκτεανώτατε πάντων,"
1,122,1.122,ΑΓΑΜΕΜΝΩΝ,φιλοκτεανώτατε,Achilles,Agamemnon,"Ἀτρεΐδη κύδιστε φιλοκτεανώτατε πάντων,"
1,130,1.130,ΑΓΑΜΕΜΝΩΝ,κρείων,,,τὸν δ’ ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων·
1,131,1.131,ΑΧΙΛΛΕΥΣ,θεοείκελ’,Agamemnon,Achilles,μὴ δ’ οὕτως ἀγαθός περ ἐὼν θεοείκελ’ Ἀχιλλεῦ
1,145,1.145,ΟΔΥΣΣΕΥΣ,δῖος,Agamemnon,Achilles,ἢ Αἴας ἢ Ἰδομενεὺς ἢ δῖος Ὀδυσσεὺς
1,148,1.148,ΑΧΙΛΛΕΥΣ,ὠκὺς,,,τὸν δ’ ἄρ’ ὑπόδρα ἰδὼν προσέφη πόδας ὠκὺς Ἀχιλλεύς·
1,148,1.148,ΑΧΙΛΛΕΥΣ,πόδας ὠκὺς,,,τὸν δ’ ἄρ’ ὑπόδρα ἰδὼν προσέφη πόδας ὠκὺς Ἀχιλλεύς·
1,172,1.172,ΑΓΑΜΕΜΝΩΝ,ἄναξ ἀνδρῶν,,,τὸν δ’ ἠμείβετ’ ἔπειτα ἄναξ ἀνδρῶν Ἀγαμέμνων·
1,191,1.191,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδην,,,"τοὺς μὲν ἀναστήσειεν, ὃ δ’ Ἀτρεΐδην ἐναρίζοι,"
1,203,1.203,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδαο,Achilles,Athena,ἦ ἵνα ὕβριν ἴδῃ Ἀγαμέμνονος Ἀτρεΐδαο;
1,215,1.215,ΑΧΙΛΛΕΥΣ,ὠκὺς,,,τὴν δ’ ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς·
1,215,1.215,ΑΧΙΛΛΕΥΣ,πόδας ὠκὺς,,,τὴν δ’ ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς·
1,223,1.223,ΑΧΙΛΛΕΥΣ,Πηλεΐδης,,,Πηλεΐδης δ’ ἐξαῦτις ἀταρτηροῖς ἐπέεσσιν
