Book,Line,Locus,Hero,Epithet,Speaker,Addressee,Greek
1,1,1.1,ΑΧΙΛΛΕΥΣ,μῆνιν,,,μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος
1,1,1.1,ΑΧΙΛΛΕΥΣ,ἄειδε,,,μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος
1,1,1.1,ΑΧΙΛΛΕΥΣ,θεὰ,,,μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος
1,7,1.7,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδης,,,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
1,7,1.7,ΑΓΑΜΕΜΝΩΝ,τε,,,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
1,7,1.7,ΑΓΑΜΕΜΝΩΝ,ἄναξ,,,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
1,7,1.7,ΑΓΑΜΕΜΝΩΝ,ἀνδρῶν,,,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
1,7,1.7,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος,,,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
1,7,1.7,ΑΓΑΜΕΜΝΩΝ,ἄναξ ἀνδρῶν,,,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
1,7,1.7,ΑΧΙΛΛΕΥΣ,καὶ,,,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
1,7,1.7,ΑΧΙΛΛΕΥΣ,δῖος,,,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
1,7,1.7,ΑΧΙΛΛΕΥΣ,ἄναξ ἀνδρῶν καὶ δῖος,,,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
1,7,1.7,ΑΧΙΛΛΕΥΣ,ἀνδρῶν καὶ δῖος,,,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
1,7,1.7,ΑΧΙΛΛΕΥΣ,δῖος Ἀχιλλεύς,,,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.
1,12,1.12,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδης,,,Ἀτρεΐδης· ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν
1,12,1.12,ΑΓΑΜΕΜΝΩΝ,ὃ,,,Ἀτρεΐδης· ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν
1,12,1.12,ΑΓΑΜΕΜΝΩΝ,γὰρ,,,Ἀτρεΐδης· ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν
1,12,1.12,ΑΓΑΜΕΜΝΩΝ,ἦλθε,,,Ἀτρεΐδης· ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν
